Plan Type,County,Health Plan Name,Health Plan Offered Telehealth,Telehealth Website Website ,Telehealth Services Phone Number,Health Plan Nurse Advice Line,Special Note,Internal Note
Commercial,Colusa,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Colusa,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Medi-Cal Managed Care,Colusa,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Colusa,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Contra Costa,Contra Costa Health Plan,No,https://cchealth.org/,,1-877-661-6230 ,,
Commercial,Contra Costa,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Contra Costa,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Contra Costa,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Contra Costa,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Contra Costa,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2363,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Contra Costa,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Contra Costa,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Contra Costa,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Contra Costa,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Del Norte,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Del Norte,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Del Norte,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Del Norte,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,El Dorado,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,El Dorado,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,El Dorado,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,El Dorado,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,El Dorado,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2364,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,El Dorado,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,El Dorado,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,El Dorado,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,El Dorado,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Medi-Cal Managed Care,El Dorado,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,El Dorado,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Fresno,CalViva,No,https://www.calvivahealth.org/,,1-888-893-1569   TTY 711,,
Commercial,Fresno,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Fresno,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Fresno,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,Fresno,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Fresno,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Fresno,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2365,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Fresno,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Fresno,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Fresno,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Fresno,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Glenn,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Glenn,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Glenn,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Glenn,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Glenn,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Humboldt,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Humboldt,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Humboldt,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Humboldt,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Imperial,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Imperial,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Imperial,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Imperial,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Imperial,Molina Healthcare of California,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Commercial,Imperial,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Imperial,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Commercial,Inyo,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Inyo,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Inyo,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Inyo,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Inyo,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Kern,Kern Health Systems,No,https://www.kernfamilyhealthcare.com/,,1-661-632-1590 (Bakersfield) or 1-800-391-2000 (outside of Bakersfield).,,
Commercial,Kern,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Kern,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Kern,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Kern,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Kern,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2366,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Kern,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Kern,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Kern,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Kings,CalViva,No,https://www.calvivahealth.org/,,1-888-893-1569   TTY 711,,
Commercial,Kings,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Kings,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Kings,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Kings,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Kings,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2367,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Kings,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Kings,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Kings,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Kings,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Lake,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Lake,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Lake,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Lake,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Lassen,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Lassen,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Lassen,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Lassen,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Los Angeles,L.A. Care Health Plan,Yes,https://www.lacare.org/members/getting-care/urgent-care/telehealth,1-800-835-2362,1-800-249-3619   TTY 711,L.A. Care members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Los Angeles,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Los Angeles,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Los Angeles,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medi-Cal Managed Care,Los Angeles,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Los Angeles,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Los Angeles,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2368,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Los Angeles,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
